Title,URL,Description,Author,Date,News Outlet,Search Terms
"Rechtliche Grenzen, wenn sich Opfer von Cyberangriffen wehren",https://www.heise.de/select/ct/2022/3/2133510033130716256,"Attacken auf Unternehmensserver, eingeschleuste Trojaner auf Arbeitsrechnern, manipulierte Websites, ausgespähte Daten: Hackeraktivitäten vernichten Arbeitszeit ihrer Opfer, verschaffen ihnen Ärger mit Kunden und kosten sie Geld. Das lässt den Wunsch aufkommen, sich irgendwie zu revanchieren  aber darf man das?",Harald Büring,2022-01-14 00:00:00,Heise,"Hackback, Aktive Cyberabwehr"
Digitalisierung: Was die Koalitionsparteien in Sachen IT vorhaben,https://www.heise.de/hintergrund/Digitalisierung-Was-die-Koalitionsparteien-in-Sachen-IT-vorhaben-6291315.html,"Zahlreiche Vorhaben im Koalitionsvertrag der Ampelkoalition zielen auf Digitalisierung und IT-Sicherheit. Wir dröseln auf, welche Änderungen zu erwarten sind.",Tobias Haar,2021-12-16 06:00:00,Heise,Hackback
Was die Koalitionsparteien in Sachen IT vereinbart haben,https://www.heise.de/select/ix/2022/1/2133408592788295376,Die Ampelkoalition hat ihren Koalitionsvertrag vorgestellt. Zahlreiche Vorhaben zielen auf Digitalisierung und IT-Sicherheit. ,Tobias Haar,2021-12-15 00:00:00,Heise,Hackback
REvil-Gruppe: Angeblich wegen Kompromittierung durch FBI & Co. wieder offline,https://www.heise.de/news/REvil-Gruppe-Angeblich-wegen-Kompromittierung-durch-FBI-Co-wieder-offline-6226039.html,Mit REvil ist eine der führenden Cybercrime-Banden nach einem kurzen Comeback wieder offline. Verantwortlich sind angeblich aggressive Strafverfolgungsbehörden., Martin Holland,2021-10-22 06:53:00,Heise,Hackback
 IT-Angriffe: EU-Parlament fordert gemeinsame Cybereinheit,https://www.heise.de/news/IT-Angriffe-EU-Parlament-fordert-gemeinsame-Cybereinheit-6212107.html,"Die EU-Abgeordneten machen sich für eine besser koordinierte militärische Cyberabwehr und eine ""schlüssige IT-Sicherheitspolitik"" stark.", Stefan Krempl,2021-10-07 15:30:00,Heise,Hackback
"""Cybersicherheitsstrategie"": Zivilgesellschaft schlägt Alarm wegen Hintertüren",https://www.heise.de/news/Cybersicherheitsstrategie-Zivilgesellschaft-schlaegt-Alarm-wegen-Hintertueren-6119864.html,"Gut 70 Organisationen und Forscher warnen die Regierung davor, Seehofers Plan für ausgehöhlte Verschlüsselung, Hackbacks und Staatstrojaner zu beschließen.", Stefan Krempl,2021-06-25 11:39:00,Heise,Hackback
Cyberangriffe: Gefahr durch Hackbacks ,https://www.heise.de/hintergrund/Cyberangriffe-Gefahr-durch-Hackbacks-6007526.html,Trotz Warnung von Sicherheitsexperten träumen immer mehr Politiker von aktiven Maßnahmen gegen Cyberangriffe. Das ist gefährlich. Eine Analyse.   ,dr Wolfgang Stieler,2021-06-17 06:00:00,Heise,"Hackback, Gefahrenabwehr Cyberraum"
"Was war. Was wird. Von Tafeln, Trojanern und Stellungnahmen",https://www.heise.de/meinung/Was-war-Was-wird-Von-Tafeln-Trojanern-und-Stellungnahmen-6069543.html,"Manche Lobbyisten scheinen wirklich so bescheuert zu sein, dass sie Moses mit Charlton Heston verwechseln. Oder ist das gar keine Dummheit, fragt sich Hal Faber", Hal Faber,2021-06-12 22:09:00,Heise,Hackback
Cybersicherheit: Seehofer für Nutzung von Zero-Day-Exploits und für Hackbacks,https://www.heise.de/news/Cybersicherheit-Seehofer-fuer-Nutzung-von-Zero-Day-Exploits-und-fuer-Hackbacks-6068846.html,Innenminister Horst Seehofer hat einen Entwurf für eine Cybersicherheitsstrategie vorgelegt. Er plant einen Angriff auf Verschlüsselung und mehr Staatshacking., Stefan Krempl,2021-06-11 12:06:00,Heise,"Hackback, Gefahrenabwehr Cyberraum"
Hackback statt Cyberresilienz,https://www.heise.de/select/ix/2021/6/2109708021108956113,,Manuel Atug,2021-05-26 00:00:00,Heise,Hackback
Inhalt,https://www.heise.de/select/ix/2021/6/2109708021597843372,,,2021-05-26 00:00:00,Heise,Hackback
Inhaltsverzeichnis,https://www.heise.de/select/tr/2021/3/2105414372669946772,,,2021-03-31 00:00:00,Heise,Hackback
Gefahr im Verzug,https://www.heise.de/select/tr/2021/3/2105413554599445216,Trotz Warnung von Sicherheitsexperten träumen immer mehr Politiker von aktiven Maßnahmen gegen Cyberangriffe. Das ist gefährlich.,,2021-03-31 00:00:00,Heise,"Hackback, Gefahrenabwehr Cyberraum"
secIT Digital: Effektiv gegen Erpressung und Spionage gewappnet,https://www.heise.de/news/secIT-Digital-Effektiv-gegen-Erpressung-und-Spionage-gewappnet-5057480.html,Jetzt noch schnell Tickets sichern: Die Security-Konferenz secIT Digital startet kommende Woche und hat viele spannende Themen im Gepäck. , Dennis Schirrmacher,2021-02-18 10:42:00,Heise,Hackback
secIT Digital: Heißt Emotet jetzt Emotot?,https://www.heise.de/news/secIT-Digital-Heisst-Emotet-jetzt-Emotot-5049636.html,Welche Schädlinge sind derzeit in Umlauf? Sind Erpressungstrojaner noch en vogue? Diese und viele weitere Fragen klärt die Security-Konferenz secIT Digital., Dennis Schirrmacher,2021-02-12 09:42:00,Heise,Hackback
"secIT Digital: Sich effektiv verhalten, wenn es in der IT geknallt hat",https://www.heise.de/news/secIT-Digital-Sich-effektiv-verhalten-wenn-es-in-der-IT-geknallt-hat-5036404.html,Die Security-Konferenz secIT Digital lockt mit hilfreichen redaktionell ausgewählten Inhalten. Neben den Vorträgen ist nun auch das Workshop-Programm online. , Dennis Schirrmacher,2021-01-27 13:26:00,Heise,Hackback
Bruce Schneier auf der SecIT 2020,https://www.heise.de/select/ix/2020/3/2001710083515350762,,,2020-02-19 00:00:00,Heise,Hackback
Hackbacks: Bundespolizei sollte digitalen Gegenschlag führen dürfen,https://www.heise.de/news/Hackbacks-Bundespolizei-soll-digitalen-Gegenschlag-fuehren-duerfen-4648682.html,"Mit der geplanten Reform des Bundespolizeigesetzes wollte der Innenminister die Grenzschützer für 3,6 Millionen Euro zur ""aktiven Cyberabwehr"" befähigen.", Stefan Krempl,2020-01-29 13:17:00,Heise,Hackback
secIT 2020: Die Highlights der redaktionellen Workshops,https://www.heise.de/news/secIT-2020-Die-Highlights-der-redaktionellen-Workshops-4642137.html,"Neben spannenden Vorträgen haben die Redaktionen von c't, heise Security und iX für die Security-Konferenz secIT 2020 auch Workshops mit Mehrwert organisiert. ", Dennis Schirrmacher,2020-01-22 09:13:00,Heise,Hackback
36C3: Von Netzpolitik und Klimawandel,https://www.heise.de/select/ix/2020/2/1932511183321600664,"Der 36. Chaos Communication Congress war weiter denn je davon entfernt, sich allein auf die Technik zu konzentrieren und der Politik den Rest zu überlassen. Zu oft geht das daneben, wie zahlreiche Beispiele zeigen.",Manuel Atug,2020-01-22 00:00:00,Heise,Hackback
Sicherheitsunion: Telekom will digital die Grenzen hochziehen können,https://www.heise.de/news/Sicherheitsunion-Telekom-will-digital-die-Grenzen-hochziehen-koennen-4612522.html,"Axel Petri, Sicherheitskoordinator der Telekom, hat für eine Allianz europäischer Länder geworben, die Netzübergänge notfalls dichtmachen können.", Stefan Krempl,2019-12-11 16:57:00,Heise,Hackback
